,PassengerId,Cabin_number,Age,RoomService,Age_group,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Europa,HomePlanet_Mars,CryoSleep_True,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_S,VIP_True
0,0001_01,0,39.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
1,0002_01,0,24.0,109.0,Age_18-25,9.0,25.0,549.0,44.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2,0003_01,0,58.0,43.0,Age_51+,3576.0,0.0,6715.0,49.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
3,0003_02,0,33.0,0.0,Age_31-50,1283.0,371.0,3329.0,193.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
4,0004_01,1,16.0,303.0,Age_13-17,70.0,151.0,565.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
5,0005_01,0,44.0,0.0,Age_31-50,483.0,0.0,291.0,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
6,0006_01,2,26.0,42.0,Age_26-30,1539.0,3.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
7,0006_02,0,28.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0
8,0007_01,3,35.0,0.0,Age_31-50,785.0,17.0,216.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
9,0008_01,1,14.0,0.0,Age_13-17,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
10,0008_02,1,34.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
11,0008_03,1,45.0,39.0,Age_31-50,7295.0,589.0,110.0,124.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0009_01,1,32.0,73.0,Age_31-50,0.0,1123.0,0.0,113.0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
13,0010_01,1,48.0,719.0,Age_31-50,1.0,65.0,0.0,24.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
14,0011_01,2,28.0,8.0,Age_26-30,974.0,12.0,2.0,7.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
15,0012_01,3,31.0,32.0,Age_31-50,0.0,876.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
16,0014_01,3,27.0,1286.0,Age_26-30,122.0,304.9064830751578,0.0,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
17,0015_01,4,24.0,0.0,Age_18-25,1.0,0.0,0.0,637.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,0016_01,5,45.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
19,0017_01,0,0.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20,0017_02,6,14.0,412.0,Age_13-17,0.0,1.0,0.0,679.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,0020_01,0,1.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
22,0020_02,0,49.0,0.0,Age_31-50,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
23,0020_03,0,29.0,0.0,Age_26-30,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
24,0020_04,0,10.0,0.0,Age_0-12,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
