,PassengerId,HomePlanet,CryoSleep,Cabin_side,Cabin_deck,Cabin_number,Destination,Age,RoomService,Age_group,VIP,FoodCourt,ShoppingMall,Spa,VRDeck,Transported
0,0001_01,Europa,False,P,B,0,TRAPPIST-1e,39.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
1,0002_01,Earth,False,S,F,0,TRAPPIST-1e,24.0,109.0,Age_18-25,False,9.0,25.0,549.0,44.0,True
2,0003_01,Europa,False,S,A,0,TRAPPIST-1e,58.0,43.0,Age_51+,True,3576.0,0.0,6715.0,49.0,False
3,0003_02,Europa,False,S,A,0,TRAPPIST-1e,33.0,0.0,Age_31-50,False,1283.0,371.0,3329.0,193.0,False
4,0004_01,Earth,False,S,F,1,TRAPPIST-1e,16.0,303.0,Age_13-17,False,70.0,151.0,565.0,2.0,True
5,0005_01,Earth,False,P,F,0,PSO J318.5-22,44.0,0.0,Age_31-50,False,483.0,0.0,291.0,0.0,True
6,0006_01,Earth,False,S,F,2,TRAPPIST-1e,26.0,42.0,Age_26-30,False,1539.0,3.0,0.0,0.0,True
7,0006_02,Earth,True,S,G,0,TRAPPIST-1e,28.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
8,0007_01,Earth,False,S,F,3,TRAPPIST-1e,35.0,0.0,Age_31-50,False,785.0,17.0,216.0,0.0,True
9,0008_01,Europa,True,P,B,1,55 Cancri e,14.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
10,0008_02,Europa,True,P,B,1,TRAPPIST-1e,34.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
11,0008_03,Europa,False,P,B,1,55 Cancri e,45.0,39.0,Age_31-50,False,7295.0,589.0,110.0,124.0,True
12,0009_01,Mars,False,P,F,1,TRAPPIST-1e,32.0,73.0,Age_31-50,False,0.0,1123.0,0.0,113.0,True
13,0010_01,Earth,False,S,G,1,TRAPPIST-1e,48.0,719.0,Age_31-50,False,1.0,65.0,0.0,24.0,False
14,0011_01,Earth,False,P,F,2,TRAPPIST-1e,28.0,8.0,Age_26-30,False,974.0,12.0,2.0,7.0,True
15,0012_01,Earth,False,S,F,3,TRAPPIST-1e,31.0,32.0,Age_31-50,False,0.0,876.0,0.0,0.0,False
16,0014_01,Mars,False,P,F,3,55 Cancri e,27.0,1286.0,Age_26-30,False,122.0,304.9064830751578,0.0,0.0,False
17,0015_01,Earth,False,P,F,4,55 Cancri e,24.0,0.0,Age_18-25,False,1.0,0.0,0.0,637.0,False
18,0016_01,Mars,True,P,F,5,TRAPPIST-1e,45.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
19,0017_01,Earth,False,P,G,0,TRAPPIST-1e,0.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
20,0017_02,Earth,False,P,F,6,55 Cancri e,14.0,412.0,Age_13-17,False,0.0,1.0,0.0,679.0,False
21,0020_01,Earth,True,S,E,0,TRAPPIST-1e,1.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
22,0020_02,Earth,True,S,E,0,55 Cancri e,49.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
23,0020_03,Earth,True,S,E,0,55 Cancri e,29.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,False
24,0020_04,Earth,False,S,E,0,TRAPPIST-1e,10.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
25,0020_05,Earth,True,S,E,0,PSO J318.5-22,1.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
26,0020_06,Earth,False,S,E,0,TRAPPIST-1e,7.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,False
27,0022_01,Mars,False,P,D,0,TRAPPIST-1e,21.0,980.0,Age_18-25,False,2.0,69.0,0.0,0.0,False
28,0024_01,Europa,True,S,C,2,TRAPPIST-1e,62.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,True
29,0025_01,Earth,False,S,F,6,TRAPPIST-1e,15.0,0.0,Age_13-17,False,225.0,0.0,998.0,0.0,False
30,0026_01,Europa,False,P,C,0,55 Cancri e,34.0,22.0,Age_31-50,False,6073.0,0.0,1438.0,328.0,False
31,0028_01,Mars,False,P,F,8,TRAPPIST-1e,43.0,1125.0,Age_31-50,False,0.0,136.0,48.0,0.0,False
32,0030_01,Earth,False,S,G,4,TRAPPIST-1e,32.0,0.0,Age_31-50,False,850.0,81.0,437.0,453.0,False
33,0031_01,Mars,False,P,F,9,TRAPPIST-1e,47.0,214.0,Age_31-50,False,0.0,1411.0,0.0,1229.0,True
34,0031_02,Mars,False,P,F,9,TRAPPIST-1e,2.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
35,0031_03,Mars,False,P,F,9,TRAPPIST-1e,20.0,0.0,Age_18-25,False,0.0,1750.0,990.0,0.0,True
36,0034_01,Europa,True,S,D,1,55 Cancri e,28.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,True
37,0035_01,Mars,False,P,D,1,55 Cancri e,23.0,784.0,Age_18-25,False,964.0,0.0,951.0,0.0,False
38,0036_01,Earth,False,S,F,8,55 Cancri e,15.0,0.0,Age_13-17,False,492.0,48.0,20.0,401.0,False
39,0038_01,Earth,False,S,F,10,55 Cancri e,20.0,554.0,Age_18-25,False,195.0,0.0,2606.0,0.0,False
40,0039_01,Earth,True,P,G,1,55 Cancri e,30.0,0.0,Age_26-30,False,0.0,0.0,0.0,0.0,False
41,0041_01,Earth,True,P,G,2,TRAPPIST-1e,17.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
42,0043_01,Europa,False,P,B,3,TRAPPIST-1e,45.0,0.0,Age_31-50,False,164.0,45.0,2511.0,855.0,False
43,0044_01,Earth,True,P,G,3,TRAPPIST-1e,55.0,0.0,Age_51+,False,0.0,0.0,0.0,0.0,False
44,0044_02,Earth,True,P,G,3,55 Cancri e,4.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
45,0044_03,Earth,True,P,G,3,PSO J318.5-22,21.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
46,0045_01,Mars,False,P,F,10,TRAPPIST-1e,21.0,970.0,Age_18-25,False,0.0,180.0,0.0,64.0,False
47,0045_02,Mars,True,P,F,10,TRAPPIST-1e,19.0,0.0,Age_18-25,False,0.0,0.0,0.0,0.0,True
48,0050_01,Earth,False,S,E,1,55 Cancri e,35.0,790.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
49,0051_01,Earth,False,S,E,2,TRAPPIST-1e,56.0,0.0,Age_51+,False,112.0,0.0,1379.0,127.0,False
50,0052_01,Earth,False,S,G,6,TRAPPIST-1e,28.82793046746535,4.0,Age_26-30,False,0.0,2.0,4683.0,0.0,False
51,0053_01,Earth,False,S,F,11,TRAPPIST-1e,25.0,0.0,Age_18-25,False,0.0,1938.0,0.0,1.0,True
52,0056_01,Europa,False,S,A,1,TRAPPIST-1e,2.0,0.0,Age_0-12,False,0.0,0.0,0.0,0.0,True
53,0056_02,Europa,True,S,A,1,TRAPPIST-1e,38.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,True
54,0056_03,Europa,False,S,A,1,TRAPPIST-1e,27.0,279.0,Age_26-30,False,605.0,3374.0,286.0,3.0,True
55,0058_01,Earth,True,S,G,7,PSO J318.5-22,36.0,0.0,Age_31-50,False,0.0,0.0,0.0,0.0,False
56,0061_01,Earth,False,S,F,12,TRAPPIST-1e,22.0,45.0,Age_18-25,False,1096.0,148.0,1377.0,1.0,False
57,0062_01,Earth,False,S,F,13,TRAPPIST-1e,62.0,0.0,Age_51+,False,592.0,0.0,17.0,25.0,False
58,0064_01,Mars,True,S,F,14,TRAPPIST-1e,15.0,0.0,Age_13-17,False,0.0,0.0,0.0,0.0,True
